frame,time_sec,cell_id,x_px,y_px,cell_radius_px,crossed_80pct
578,19.266667,142,6.433,203,7,false
579,19.300000,142,12.867,203,7,false
580,19.333333,142,19.300,203,7,false
581,19.366667,142,25.733,203,7,false
582,19.400000,142,32.166,203,7,false
583,19.433333,142,38.600,203,7,false
584,19.466667,142,45.033,203,7,false
585,19.500000,142,51.466,203,7,false
586,19.533333,142,57.899,203,7,false
587,19.566667,142,64.333,203,7,false
588,19.600000,142,70.766,203,7,false
589,19.633333,142,77.199,203,7,false
590,19.666667,142,83.632,203,7,false
591,19.700000,142,90.066,203,7,false
592,19.733333,142,96.499,203,7,false
593,19.766667,142,102.932,203,7,false
594,19.800000,142,109.365,203,7,false
595,19.833333,142,115.799,203,7,false
596,19.866667,142,122.232,203,7,false
597,19.900000,142,128.665,203,7,false
598,19.933333,142,135.098,203,7,false
599,19.966667,142,141.532,203,7,false
600,20.000000,142,147.965,203,7,false
601,20.033333,142,154.398,203,7,false
601,20.033333,285,5.814,58,7,false
602,20.066667,142,160.831,203,7,false
602,20.066667,285,11.628,58,7,false
603,20.100000,142,167.265,203,7,false
603,20.100000,285,17.442,58,7,false
604,20.133333,142,173.698,203,7,false
604,20.133333,285,23.256,58,7,false
605,20.166667,142,180.131,203,7,false
605,20.166667,285,29.070,58,7,false
605,20.166667,68,6.420,241,7,false
606,20.200000,142,186.564,203,7,false
606,20.200000,285,34.884,58,7,false
606,20.200000,68,12.840,241,7,false
607,20.233333,142,192.998,203,7,false
607,20.233333,285,40.699,58,7,false
607,20.233333,68,19.260,241,7,false
608,20.266667,142,199.431,203,7,false
608,20.266667,285,46.513,58,7,false
608,20.266667,68,25.681,241,7,false
609,20.300000,142,205.864,203,7,false
609,20.300000,285,52.327,58,7,false
609,20.300000,68,32.101,241,7,false
610,20.333333,142,212.297,203,7,false
610,20.333333,285,58.141,58,7,false
610,20.333333,68,38.521,241,7,false
611,20.366667,142,218.731,203,7,false
611,20.366667,285,63.955,58,7,false
611,20.366667,68,44.941,241,7,false
612,20.400000,142,225.164,203,7,false
612,20.400000,285,69.769,58,7,false
612,20.400000,68,51.361,241,7,false
613,20.433333,142,231.597,203,7,false
613,20.433333,285,75.583,58,7,false
613,20.433333,68,57.781,241,7,false
614,20.466667,142,238.030,203,7,false
614,20.466667,285,81.397,58,7,false
614,20.466667,68,64.201,241,7,false
615,20.500000,142,244.464,203,7,false
615,20.500000,285,87.211,58,7,false
615,20.500000,68,70.622,241,7,false
616,20.533333,142,250.897,203,7,false
616,20.533333,285,93.025,58,7,false
616,20.533333,68,77.042,241,7,false
617,20.566667,142,257.330,203,7,false
617,20.566667,285,98.839,58,7,false
617,20.566667,68,83.462,241,7,false
618,20.600000,142,263.763,203,7,false
618,20.600000,285,104.653,58,7,false
618,20.600000,68,89.882,241,7,false
619,20.633333,142,270.197,203,7,false
619,20.633333,285,110.467,58,7,false
619,20.633333,68,96.302,241,7,false
620,20.666667,142,276.630,203,7,false
620,20.666667,285,116.281,58,7,false
620,20.666667,68,102.722,241,7,false
621,20.700000,142,283.063,203,7,false
621,20.700000,285,122.096,58,7,false
621,20.700000,68,109.143,241,7,false
622,20.733333,142,289.496,203,7,false
622,20.733333,285,127.910,58,7,false
622,20.733333,68,115.563,241,7,false
623,20.766667,142,295.930,203,7,false
623,20.766667,285,133.724,58,7,false
623,20.766667,68,121.983,241,7,false
624,20.800000,142,302.363,203,7,false
624,20.800000,285,139.538,58,7,false
624,20.800000,68,128.403,241,7,false
625,20.833333,142,308.796,203,7,false
625,20.833333,285,145.352,58,7,false
625,20.833333,68,134.823,241,7,false
626,20.866667,142,315.229,203,7,false
626,20.866667,285,151.166,58,7,false
626,20.866667,68,141.243,241,7,false
627,20.900000,142,321.663,203,7,false
627,20.900000,285,156.980,58,7,false
627,20.900000,68,147.663,241,7,false
628,20.933333,142,328.096,203,7,false
628,20.933333,285,162.794,58,7,false
628,20.933333,68,154.084,241,7,false
629,20.966667,142,334.529,203,7,false
629,20.966667,285,168.608,58,7,false
629,20.966667,68,160.504,241,7,false
630,21.000000,142,340.962,203,7,false
630,21.000000,285,174.422,58,7,false
630,21.000000,68,166.924,241,7,false
631,21.033333,142,347.396,203,7,false
631,21.033333,285,180.236,58,7,false
631,21.033333,68,173.344,241,7,false
632,21.066667,142,353.829,203,7,false
632,21.066667,285,186.050,58,7,false
632,21.066667,68,179.764,241,7,false
633,21.100000,142,360.262,203,7,false
633,21.100000,285,191.864,58,7,false
633,21.100000,68,186.184,241,7,false
634,21.133333,142,366.695,203,7,false
634,21.133333,285,197.678,58,7,false
634,21.133333,68,192.604,241,7,false
635,21.166667,142,373.129,203,7,false
635,21.166667,285,203.493,58,7,false
635,21.166667,68,199.025,241,7,false
635,21.166667,237,7.361,182,7,false
636,21.200000,142,379.562,203,7,false
636,21.200000,285,209.307,58,7,false
636,21.200000,68,205.445,241,7,false
636,21.200000,237,14.722,182,7,false
637,21.233333,142,385.995,203,7,false
637,21.233333,285,215.121,58,7,false
637,21.233333,68,211.865,241,7,false
637,21.233333,237,22.084,182,7,false
638,21.266667,142,392.428,203,7,false
638,21.266667,285,220.935,58,7,false
638,21.266667,68,218.285,241,7,false
638,21.266667,237,29.445,182,7,false
639,21.300000,142,398.862,203,7,false
639,21.300000,285,226.749,58,7,false
639,21.300000,68,224.705,241,7,false
639,21.300000,237,36.806,182,7,false
640,21.333333,142,405.295,203,7,true
640,21.333333,285,232.563,58,7,false
640,21.333333,68,231.125,241,7,false
640,21.333333,237,44.167,182,7,false
641,21.366667,142,411.728,203,7,true
641,21.366667,285,238.377,58,7,false
641,21.366667,68,237.546,241,7,false
641,21.366667,237,51.529,182,7,false
642,21.400000,142,418.161,203,7,true
642,21.400000,285,244.191,58,7,false
642,21.400000,68,243.966,241,7,false
642,21.400000,237,58.890,182,7,false
643,21.433333,142,424.595,203,7,true
643,21.433333,285,250.005,58,7,false
643,21.433333,68,250.386,241,7,false
643,21.433333,237,66.251,182,7,false
644,21.466667,142,431.028,203,7,true
644,21.466667,285,255.819,58,7,false
644,21.466667,68,256.806,241,7,false
644,21.466667,237,73.612,182,7,false
645,21.500000,142,437.461,203,7,true
645,21.500000,285,261.633,58,7,false
645,21.500000,68,263.226,241,7,false
645,21.500000,237,80.974,182,7,false
646,21.533333,142,443.894,203,7,true
646,21.533333,285,267.447,58,7,false
646,21.533333,68,269.646,241,7,false
646,21.533333,237,88.335,182,7,false
647,21.566667,142,450.328,203,7,true
647,21.566667,285,273.261,58,7,false
647,21.566667,68,276.066,241,7,false
647,21.566667,237,95.696,182,7,false
648,21.600000,142,456.761,203,7,true
648,21.600000,285,279.075,58,7,false
648,21.600000,68,282.487,241,7,false
648,21.600000,237,103.057,182,7,false
649,21.633333,142,463.194,203,7,true
649,21.633333,285,284.890,58,7,false
649,21.633333,68,288.907,241,7,false
649,21.633333,237,110.419,182,7,false
650,21.666667,142,469.627,203,7,true
650,21.666667,285,290.704,58,7,false
650,21.666667,68,295.327,241,7,false
650,21.666667,237,117.780,182,7,false
651,21.700000,142,476.061,203,7,true
651,21.700000,285,296.518,58,7,false
651,21.700000,68,301.747,241,7,false
651,21.700000,237,125.141,182,7,false
652,21.733333,142,482.494,203,7,true
652,21.733333,285,302.332,58,7,false
652,21.733333,68,308.167,241,7,false
652,21.733333,237,132.502,182,7,false
653,21.766667,142,488.927,203,7,true
653,21.766667,285,308.146,58,7,false
653,21.766667,68,314.587,241,7,false
653,21.766667,237,139.863,182,7,false
654,21.800000,142,495.360,203,7,true
654,21.800000,285,313.960,58,7,false
654,21.800000,68,321.007,241,7,false
654,21.800000,237,147.225,182,7,false
655,21.833333,285,319.774,58,7,false
655,21.833333,68,327.428,241,7,false
655,21.833333,237,154.586,182,7,false
656,21.866667,285,325.588,58,7,false
656,21.866667,68,333.848,241,7,false
656,21.866667,237,161.947,182,7,false
657,21.900000,285,331.402,58,7,false
657,21.900000,68,340.268,241,7,false
657,21.900000,237,169.308,182,7,false
658,21.933333,285,337.216,58,7,false
658,21.933333,68,346.688,241,7,false
658,21.933333,237,176.670,182,7,false
659,21.966667,285,343.030,58,7,false
659,21.966667,68,353.108,241,7,false
659,21.966667,237,184.031,182,7,false
660,22.000000,285,348.844,58,7,false
660,22.000000,68,359.528,241,7,false
660,22.000000,237,191.392,182,7,false
661,22.033333,285,354.658,58,7,false
661,22.033333,68,365.949,241,7,false
661,22.033333,237,198.753,182,7,false
662,22.066667,285,360.472,58,7,false
662,22.066667,68,372.369,241,7,false
662,22.066667,237,206.115,182,7,false
663,22.100000,285,366.287,58,7,false
663,22.100000,68,378.789,241,7,false
663,22.100000,237,213.476,182,7,false
664,22.133333,285,372.101,58,7,false
664,22.133333,68,385.209,241,7,false
664,22.133333,237,220.837,182,7,false
665,22.166667,285,377.915,58,7,false
665,22.166667,68,391.629,241,7,false
665,22.166667,237,228.198,182,7,false
666,22.200000,285,383.729,58,7,false
666,22.200000,68,398.049,241,7,false
666,22.200000,237,235.560,182,7,false
667,22.233333,285,389.543,58,7,false
667,22.233333,68,404.469,241,7,true
667,22.233333,237,242.921,182,7,false
667,22.233333,173,5.909,408,7,false
668,22.266667,285,395.357,58,7,false
668,22.266667,68,410.890,241,7,true
668,22.266667,237,250.282,182,7,false
668,22.266667,173,11.818,408,7,false
669,22.300000,285,401.171,58,7,true
669,22.300000,68,417.310,241,7,true
669,22.300000,237,257.643,182,7,false
669,22.300000,173,17.727,408,7,false
670,22.333333,285,406.985,58,7,true
670,22.333333,68,423.730,241,7,true
670,22.333333,237,265.005,182,7,false
670,22.333333,173,23.637,408,7,false
671,22.366667,285,412.799,58,7,true
671,22.366667,68,430.150,241,7,true
671,22.366667,237,272.366,182,7,false
671,22.366667,173,29.546,408,7,false
672,22.400000,285,418.613,58,7,true
672,22.400000,68,436.570,241,7,true
672,22.400000,237,279.727,182,7,false
672,22.400000,173,35.455,408,7,false
673,22.433333,285,424.427,58,7,true
673,22.433333,68,442.990,241,7,true
