CellID,FirstSeenFrame,FirstSeenTime(s),CrossingFrame,CrossingTime(s),TotalDistance,DistanceToCross,DistanceAfterCross,AvgFrameDistance,MedianFrameDistance,FramesTracked,FramesMissed,Speed
1,452,15.07,514,17.13,485.00,392.00,93.00,6.30,6.00,78,41,188.96
2,584,19.47,639,21.30,483.50,391.50,92.00,7.11,7.00,69,41,213.31
3,601,20.03,652,21.73,483.50,399.50,84.00,7.80,8.00,63,41,233.95
4,622,20.73,676,22.53,484.50,391.50,93.00,7.23,7.00,68,41,216.94
5,655,21.83,712,23.73,485.50,399.50,86.00,6.94,7.00,71,41,208.07
6,660,22.00,711,23.70,484.00,392.50,91.50,7.68,8.00,64,41,230.48
7,677,22.57,730,24.33,485.50,399.50,86.00,7.47,8.00,66,41,224.08
8,679,22.63,733,24.43,486.50,397.50,89.00,7.26,7.00,68,41,217.84
9,685,22.83,744,24.80,484.50,392.00,92.50,6.64,7.00,74,41,199.11
10,699,23.30,753,25.10,486.00,392.52,93.57,7.35,7.50,68,41,217.61
12,717,23.90,781,26.03,485.50,398.00,87.50,6.15,6.00,80,41,184.37
13,722,24.07,777,25.90,483.50,399.50,84.00,7.22,7.00,68,41,216.49
14,725,24.17,781,26.03,483.50,392.50,91.00,7.01,7.00,70,41,210.22
15,725,24.17,791,26.37,485.00,399.00,86.00,5.99,6.00,82,41,179.63
16,733,24.43,784,26.13,486.50,398.50,88.00,7.72,8.00,64,41,231.67
17,735,24.50,790,26.33,486.00,398.50,87.50,7.15,7.00,69,41,214.41
18,743,24.77,810,27.00,487.50,399.50,88.00,5.87,6.00,84,41,176.20
19,753,25.10,814,27.13,485.50,399.00,86.50,6.47,6.00,76,41,194.20
20,779,25.97,843,28.10,486.50,399.00,87.50,6.16,6.00,80,41,184.75
21,783,26.10,839,27.97,486.00,398.50,87.50,7.04,7.00,70,41,211.30
22,783,26.10,850,28.33,485.50,399.50,86.00,5.92,6.00,83,41,177.62
23,784,26.13,840,28.00,484.00,398.50,85.51,6.97,7.00,71,69,148.16
24,804,26.80,871,29.03,484.00,401.00,83.00,6.13,6.00,80,43,179.26
25,806,26.87,869,28.97,484.50,392.00,92.50,6.21,6.00,79,41,186.35
26,810,27.00,869,28.97,479.50,400.00,79.50,6.75,7.00,72,41,202.61
27,815,27.17,866,28.87,485.50,398.50,87.00,7.71,8.00,64,41,231.19
28,825,27.50,887,29.57,485.00,398.00,87.01,6.25,6.00,79,76,128.76
29,835,27.83,900,30.00,486.50,393.00,93.50,6.01,6.00,82,41,180.19
30,842,28.07,893,29.77,483.00,399.50,83.50,7.79,8.00,63,41,233.71
31,843,28.10,902,30.07,486.00,398.00,88.00,6.66,7.00,74,41,199.73
32,865,28.83,921,30.70,471.00,398.51,72.50,7.21,7.00,67,41,214.09
33,867,28.90,925,30.83,480.50,400.00,80.50,6.86,7.00,71,41,205.93
34,869,28.97,924,30.80,484.51,397.50,87.04,7.10,7.00,71,64,156.29
35,870,29.00,935,31.17,484.50,398.00,86.52,5.99,6.00,82,41,179.45
36,872,29.07,931,31.03,486.04,399.00,87.24,6.64,7.00,76,42,191.86
37,873,29.10,915,30.50,422.00,329.50,92.51,7.76,8.00,57,45,211.00
38,873,29.10,925,30.83,484.00,397.50,86.50,7.56,8.00,65,41,226.88
40,885,29.50,940,31.33,486.00,399.50,86.51,7.09,7.00,70,70,148.78
41,885,29.50,936,31.20,474.00,398.50,75.50,7.77,8.00,62,41,233.11
42,895,29.83,947,31.57,483.50,397.50,86.00,7.55,8.00,65,41,226.64
43,897,29.90,949,31.63,486.50,391.50,95.00,7.48,8.00,66,41,224.54
44,900,30.00,950,31.67,471.00,392.50,78.50,7.85,8.00,61,41,235.50
45,903,30.10,953,31.77,486.00,397.50,88.50,7.84,8.00,63,41,235.16
46,905,30.17,965,32.17,486.50,392.00,94.50,6.49,7.00,76,41,194.60
47,911,30.37,973,32.43,484.50,399.00,85.50,6.34,6.00,79,57,154.63
48,913,30.43,972,32.40,487.00,399.00,88.00,6.67,7.00,74,41,200.14
49,917,30.57,975,32.50,474.50,400.00,74.50,6.96,7.00,70,41,206.30
50,920,30.67,981,32.70,486.07,392.00,94.38,6.39,6.00,79,41,186.95
51,922,30.73,989,32.97,484.53,399.50,85.18,5.81,6.00,87,73,123.18
52,922,30.73,971,32.37,473.50,397.00,76.50,8.03,8.00,60,41,240.76
